ENSEMBL,HGNC,log2FoldChange,pvalue
ENSG00000003989,SLC7A2,-0.341860239,0.23485818
ENSG00000004059,ARF5,-0.034513135,0.63698041
ENSG00000004139,SARM1,-0.024946741,0.77470636
ENSG00000004142,POLDIP2,-0.140281572,0.097307914
ENSG00000004399,PLXND1,0.111963565,0.703214655
ENSG00000004455,AK2,-0.259800094,0.042456294
ENSG00000004468,CD38,-0.635219071,0.153998224
ENSG00000004478,FKBP4,-0.358660025,0.024647281
ENSG00000004487,KDM1A,0.101353102,0.131670623
ENSG00000004534,RBM6,-0.049487066,0.586123001
ENSG00000004660,CAMKK1,0.241110329,0.18566718
ENSG00000004700,RECQL,-0.042198803,0.700425221
ENSG00000004766,VPS50,0.024077636,0.774922981
ENSG00000004776,HSPB6,-0.227142161,0.485105779
ENSG00000004777,ARHGAP33,0.061337498,0.688241264
ENSG00000004779,NDUFAB1,-0.075813071,0.46788231
ENSG00000004799,PDK4,0.148846047,0.688318049
ENSG00000004838,ZMYND10,-0.342087962,0.359991479
ENSG00000004846,ABCB5,0.581413858,0.127904525
ENSG00000004848,ARX,0.350784083,0.398171506
ENSG00000004864,SLC25A13,-0.073026718,0.683791101
ENSG00000004866,ST7,0.018325851,0.882106055
ENSG00000004897,CDC27,-0.05983427,0.321071211
ENSG00000004948,CALCR,-0.624303572,0.163069767
ENSG00000004961,HCCS,-0.109266049,0.425011153
ENSG00000004975,DVL2,-0.104043572,0.130457125
ENSG00000005007,UPF1,-0.090416177,0.216673585
ENSG00000005020,SKAP2,0.395481872,0.170885858
ENSG00000005022,SLC25A5,0.172299181,0.192194757
ENSG00000005059,MCUB,-0.182965837,0.298488153
ENSG00000005073,HOXA11,-0.529518233,0.50620011
ENSG00000005075,POLR2J,-0.16790644,0.094764188
ENSG00000005100,DHX33,-0.070569792,0.552674209
ENSG00000005102,MEOX1,0.011962496,0.974381111
ENSG00000005108,THSD7A,-0.053666646,0.845906898
ENSG00000005156,LIG3,-0.029582824,0.652503815
ENSG00000005175,RPAP3,-0.044177906,0.606040182
ENSG00000005187,ACSM3,0.008005794,0.956810688
ENSG00000005189,REXO5,0.10598549,0.376819625
ENSG00000005194,CIAPIN1,-0.075368017,0.313937485
ENSG00000005206,SPPL2B,-0.116195858,0.245935012
ENSG00000005238,ATOSB,-0.134548963,0.153384275
ENSG00000005243,COPZ2,-0.46027913,0.097854934
ENSG00000005249,PRKAR2B,0.180537542,0.41682831
ENSG00000005302,MSL3,-0.045317439,0.671281314
ENSG00000005339,CREBBP,-0.071309414,0.334618313
ENSG00000005379,TSPOAP1,-0.152417301,0.361552428
ENSG00000005421,PON1,0.049481372,0.797558216
ENSG00000005436,GCFC2,0.073403099,0.281759281
ENSG00000005448,WDR54,-0.108461824,0.446609096
ENSG00000005469,CROT,-0.101469995,0.510868844
ENSG00000005471,ABCB4,0.262078204,0.384015354
ENSG00000005483,KMT2E,0.101934842,0.172366804
ENSG00000005486,RHBDD2,-0.235894645,0.040309564
ENSG00000005513,SOX8,0.210661047,0.309965237
ENSG00000005700,IBTK,0.064192039,0.298161104
ENSG00000005801,ZNF195,0.211696754,0.052951918
ENSG00000005810,MYCBP2,0.092682332,0.456221193
ENSG00000005812,FBXL3,-0.107099263,0.363439597
ENSG00000005844,ITGAL,-0.112197139,0.677134812
ENSG00000005882,PDK2,-0.202090361,0.026625258
ENSG00000005884,ITGA3,-0.381076436,0.186519044
ENSG00000005889,ZFX,-0.045530357,0.672372499
ENSG00000005893,LAMP2,-0.136474701,0.352734306
ENSG00000005961,ITGA2B,-0.200302786,0.329196877
ENSG00000005981,ASB4,0.022486229,0.935411344
ENSG00000006007,GDE1,-0.071656891,0.541053057
ENSG00000006015,REX1BD,-0.170951798,0.25014895
ENSG00000006016,CRLF1,0.196051207,0.637939675
ENSG00000006025,OSBPL7,-0.196134819,0.036285101
ENSG00000006042,TMEM98,-0.175158321,0.145235384
ENSG00000006047,YBX2,0.061901792,0.82913912
ENSG00000006062,MAP3K14,-0.197716178,0.094634521
ENSG00000006071,ABCC8,-0.141389154,0.687973824
ENSG00000006116,CACNG3,-1.869687795,0.019168917
ENSG00000006118,TMEM132A,0.082027674,0.577223076
ENSG00000006125,AP2B1,-0.094206485,0.168906196
ENSG00000006128,TAC1,-0.496123331,0.388646999
ENSG00000006194,ZNF263,-0.167187298,0.288712771
ENSG00000006210,CX3CL1,0.015557093,0.942716176
ENSG00000006282,SPATA20,0.014623774,0.910868398
ENSG00000006283,CACNA1G,0.46808429,0.108415998
ENSG00000006327,TNFRSF12A,-0.655051669,0.052835959
ENSG00000006377,DLX6,-1.345348718,0.058838604
ENSG00000006432,MAP3K9,0.056198406,0.747086915
ENSG00000006451,RALA,-0.022093317,0.79977782
ENSG00000006453,BAIAP2L1,0.429264413,0.002320026
ENSG00000006459,KDM7A,0.135520741,0.338499411
ENSG00000006468,ETV1,0.461933299,0.010597732
ENSG00000006530,AGK,0.028216613,0.630696776
ENSG00000006534,ALDH3B1,0.100691394,0.726073807
ENSG00000006576,PHTF2,0.122156158,0.283928925
ENSG00000006607,FARP2,0.026400986,0.760889932
ENSG00000006611,USH1C,0.188374513,0.753096378
ENSG00000006625,GGCT,0.024828931,0.873962463
ENSG00000006634,DBF4,0.228600786,0.146217148
ENSG00000006638,TBXA2R,-0.512874842,0.063634844
ENSG00000006652,IFRD1,-0.053409221,0.77938652
ENSG00000006695,COX10,0.034278756,0.637506358
ENSG00000006704,GTF2IRD1,0.155363407,0.094190052
ENSG00000006712,PAF1,-0.142202834,0.133931211
ENSG00000006715,VPS41,-0.057499254,0.482471335
ENSG00000006740,ARHGAP44,0.032299469,0.87822036
ENSG00000006744,ELAC2,-0.099460933,0.250153034
ENSG00000006747,SCIN,0.786700113,0.042405193
ENSG00000006756,ARSD,0.079178331,0.618552535
ENSG00000006757,PNPLA4,-0.351880729,0.170686048
ENSG00000006788,MYH13,-1.035533759,0.295892948
ENSG00000006831,ADIPOR2,-0.136171525,0.150969201
ENSG00000006837,CDKL3,-0.038490918,0.484360798
ENSG00000007001,UPP2,0.010832811,0.970319252
ENSG00000007047,MARK4,-0.01292453,0.895640794
ENSG00000007062,PROM1,-0.018325314,0.945195375
ENSG00000007080,CCDC124,-0.04388481,0.61827363
ENSG00000007129,CEACAM21,-1.662868354,0.116263466
ENSG00000007168,PAFAH1B1,-0.022591686,0.789118398
ENSG00000007171,NOS2,-0.175948152,0.672502434
ENSG00000007174,DNAH9,-0.251273464,0.622686312
ENSG00000007202,BLTP2,-0.041219662,0.563636963
ENSG00000007237,GAS7,0.572111194,0.14090085
ENSG00000007255,TRAPPC6A,-0.025337544,0.813629797
ENSG00000007264,MATK,-0.057539805,0.88061512
ENSG00000007314,SCN4A,-0.075386916,0.890403429
ENSG00000007341,ST7L,-0.495180344,0.015356646
ENSG00000007350,TKTL1,-1.230991814,0.002000082
ENSG00000007372,PAX6,0.032594501,0.897072922
ENSG00000007376,RPUSD1,-0.115644326,0.36075478
ENSG00000007384,RHBDF1,-0.19527248,0.230192744
ENSG00000007392,LUC7L,-0.076062017,0.440585376
ENSG00000007402,CACNA2D2,-0.108838685,0.684030128
ENSG00000007516,BAIAP3,-0.64733688,0.001960943
ENSG00000007520,TSR3,-0.04745629,0.639730749
ENSG00000007541,PIGQ,-0.222828121,0.054297863
ENSG00000007545,CRAMP1,-0.081528548,0.150264043
ENSG00000007866,TEAD3,-0.059810898,0.681352349
ENSG00000007923,DNAJC11,0.018068112,0.836281652
ENSG00000007944,MYLIP,0.255169431,0.313314351
ENSG00000007952,NOX1,0.050322055,0.761228326
ENSG00000007968,E2F2,0.582678794,0.090509108
ENSG00000008018,PSMB1,-0.056009036,0.624940454
ENSG00000008056,SYN1,-0.068383685,0.821655181
ENSG00000008083,JARID2,0.235731643,0.051456427
ENSG00000008086,CDKL5,0.156525299,0.152831864
ENSG00000008118,CAMK1G,0.765331209,0.076197229
ENSG00000008128,CDK11A,-0.160958778,0.490598662
ENSG00000008130,NADK,-0.111200812,0.173833697
ENSG00000008196,TFAP2B,-1.909493581,0.010282918
ENSG00000008197,TFAP2D,0.27010381,0.793959973
ENSG00000008226,DLEC1,0.118966086,0.678716609
ENSG00000008256,CYTH3,-0.043138626,0.588348182
ENSG00000008277,ADAM22,0.127920343,0.554033279
ENSG00000008282,SYPL1,-0.15448898,0.170149393
ENSG00000008283,CYB561,-0.558094156,0.001522296
ENSG00000008294,SPAG9,-0.083213209,0.247507151
ENSG00000008300,CELSR3,0.247191483,0.122241197
ENSG00000008311,AASS,0.013867287,0.904636437
ENSG00000008323,PLEKHG6,0.032374455,0.86294673
ENSG00000008324,SS18L2,0.085305497,0.438400453
ENSG00000008382,MPND,-0.102179545,0.296115033
ENSG00000008394,MGST1,-0.261225012,0.308716472
ENSG00000008405,CRY1,0.106601033,0.395340291
ENSG00000008438,PGLYRP1,-0.043796148,0.81285984
ENSG00000008441,NFIX,-0.189744339,0.543170137
ENSG00000008513,ST3GAL1,0.515143051,0.132507902
ENSG00000008516,MMP25,-0.184360335,0.183776345
ENSG00000008517,IL32,-1.088311596,0.014366884
ENSG00000008710,PKD1,-0.038507997,0.74238801
ENSG00000008735,MAPK8IP2,-0.022081976,0.905888764
ENSG00000008838,MED24,-0.061168391,0.404265823
ENSG00000008853,RHOBTB2,-0.231965863,0.204189934
ENSG00000008869,HEATR5B,0.0816626,0.360192014
ENSG00000008952,SEC62,-0.074709332,0.321488131
ENSG00000008988,RPS20,-0.080886118,0.476742229
ENSG00000009307,CSDE1,-0.068115563,0.441218574
ENSG00000009335,UBE3C,0.034192261,0.655738344
ENSG00000009413,REV3L,0.178605558,0.177749842
ENSG00000009694,TENM1,0.135740178,0.720071884
ENSG00000009709,PAX7,-2.469649941,0.00045007
ENSG00000009724,MASP2,0.063287353,0.381691371
ENSG00000009780,FAM76A,-0.143478518,0.234228225
ENSG00000009790,TRAF3IP3,0.058992806,0.579476877
ENSG00000009830,POMT2,-0.029215146,0.794220294
ENSG00000009844,VTA1,-0.047020554,0.6319906
ENSG00000009950,MLXIPL,-0.92839447,0.058441119
ENSG00000009954,BAZ1B,0.011428499,0.849960092
ENSG00000010017,RANBP9,0.045521569,0.452347815
ENSG00000010030,ETV7,-0.252127706,0.511657526
ENSG00000010072,SPRTN,-0.094511422,0.257611739
ENSG00000010165,METTL13,0.000485668,0.996025766
ENSG00000010219,DYRK4,-0.121897913,0.227808693
ENSG00000010244,ZNF207,0.011874179,0.779122575
ENSG00000010256,UQCRC1,-0.049442824,0.568443376
ENSG00000010270,STARD3NL,-0.0527268,0.60374371
ENSG00000010278,CD9,-0.260540323,0.358000276
ENSG00000010282,HHATL,-0.280640834,0.428925885
ENSG00000010292,NCAPD2,0.057654405,0.513188323
ENSG00000010295,IFFO1,-0.212276565,0.041706882
ENSG00000010310,GIPR,0.216283681,0.496210572
ENSG00000010318,PHF7,0.032004586,0.730073747
ENSG00000010319,SEMA3G,0.2913247,0.459171559
ENSG00000010322,NISCH,-0.158715856,0.009880377
ENSG00000010327,STAB1,-0.501589951,0.136906048
ENSG00000010361,FUZ,-0.170740207,0.12478709
ENSG00000010379,SLC6A13,-0.358599788,0.285706396
ENSG00000010404,IDS,-0.055566217,0.559623402
ENSG00000010438,PRSS3,-0.129602454,0.591453766
ENSG00000010539,ZNF200,-0.204781411,0.093190104
ENSG00000010610,CD4,-0.316477204,0.125400169
ENSG00000010626,LRRC23,-0.072523553,0.760810796
ENSG00000010671,BTK,-0.602752494,0.164178386
ENSG00000010704,HFE,-1.541129731,1.33E-05
ENSG00000010803,SCMH1,0.088242279,0.173177925
ENSG00000010810,FYN,-0.094140517,0.296482129
ENSG00000010818,HIVEP2,-0.150587584,0.171901196
ENSG00000010932,FMO1,-0.424713603,0.374977737
ENSG00000011007,ELOA,-0.135853525,0.218497872
ENSG00000011009,LYPLA2,-0.020130685,0.891848113
ENSG00000011021,CLCN6,0.003144315,0.982585468
ENSG00000011028,MRC2,-0.051529618,0.817133986
ENSG00000011052,NME1-NME2,-0.004971045,0.981113501
ENSG00000011083,SLC6A7,0.00228274,0.996277852
ENSG00000011105,TSPAN9,0.122034818,0.509341058
ENSG00000011114,BTBD7,-0.093643127,0.133446146
ENSG00000011132,APBA3,-0.140328261,0.19036646
ENSG00000011143,MKS1,-0.114695764,0.190474612
ENSG00000011198,ABHD5,-0.173937025,0.214383358
ENSG00000011201,ANOS1,0.628730514,0.140494341
ENSG00000011243,AKAP8L,-0.079528519,0.44940033
ENSG00000011258,MBTD1,0.089399104,0.18937433
ENSG00000011260,UTP18,-0.012487818,0.917074685
ENSG00000011275,RNF216,-0.166347356,0.043731352
ENSG00000011295,TTC19,-0.006880983,0.913069222
ENSG00000011304,PTBP1,-0.135164879,0.266858322
ENSG00000011332,DPF1,0.213565633,0.309963812
ENSG00000011347,SYT7,0.349072501,0.239375863
ENSG00000011376,LARS2,0.039611887,0.692995995
ENSG00000011405,PIK3C2A,0.12693773,0.022443749
ENSG00000011422,PLAUR,-0.655983154,0.021411485
ENSG00000011426,ANLN,0.146703179,0.353391803
ENSG00000011451,WIZ,0.038444743,0.539017818
ENSG00000011454,RABGAP1,-0.04594109,0.319332337
ENSG00000011465,DCN,-0.039271878,0.947358519
ENSG00000011478,QPCTL,-0.148570982,0.282856155
ENSG00000011485,PPP5C,-0.054895547,0.431031576
ENSG00000011523,CEP68,0.100115269,0.083726072
ENSG00000011566,MAP4K3,0.108585734,0.096735778
ENSG00000011590,ZBTB32,-0.009057956,0.95068301
ENSG00000011638,LDAF1,-0.114050699,0.468428608
ENSG00000011677,GABRA3,0.009470882,0.98635927
ENSG00000012048,BRCA1,0.166872061,0.384193423
ENSG00000012061,ERCC1,-0.129359186,0.147794801
ENSG00000012171,SEMA3B,-0.42733634,0.063510672
ENSG00000012174,MBTPS2,0.014485725,0.866462817
ENSG00000012211,PRICKLE3,-0.324280598,0.193869743
ENSG00000012232,EXTL3,-0.135993015,0.13804587
ENSG00000012504,NR1H4,0.190559995,0.633611835
ENSG00000012660,ELOVL5,0.013018593,0.934049417
ENSG00000012779,ALOX5,0.543751302,0.012255196
ENSG00000012817,KDM5D,-0.22593423,0.770955354
ENSG00000012822,CALCOCO1,-0.103001093,0.287293048
ENSG00000012963,UBR7,-0.032874801,0.755412397
ENSG00000012983,MAP4K5,-0.053023387,0.281441258
ENSG00000013016,EHD3,-0.061840231,0.577155789
ENSG00000013275,PSMC4,-0.086275554,0.454082516
ENSG00000013288,MAN2B2,-0.080347479,0.447001271
ENSG00000013293,SLC7A14,-0.48411005,0.23559235
ENSG00000013297,CLDN11,-0.056667085,0.848680036
ENSG00000013306,SLC25A39,-0.263930256,0.031740472
ENSG00000013364,MVP,-0.26585298,0.389449384
ENSG00000013374,NUB1,0.035170212,0.631705601
ENSG00000013375,PGM3,-0.001149472,0.993613566
ENSG00000013392,RWDD2A,-0.072737256,0.385072178
ENSG00000013441,CLK1,-0.186781663,0.314955624
ENSG00000013503,POLR3B,-0.066161245,0.732776593
ENSG00000013523,ANGEL1,0.056566861,0.380375807
ENSG00000013561,RNF14,-0.098602897,0.258160121
ENSG00000013563,DNASE1L1,-0.224333621,0.046996441
ENSG00000013573,DDX11,0.218618083,0.153949096
ENSG00000013583,HEBP1,-0.236711288,0.118500162
ENSG00000013588,GPRC5A,0.540650738,0.164051911
ENSG00000013619,MAMLD1,0.058735229,0.71526906
ENSG00000013725,CD6,0.273943664,0.434291158
ENSG00000013810,TACC3,0.104473261,0.484051171
ENSG00000014123,UFL1,0.069068022,0.569353818
ENSG00000014138,POLA2,0.193994906,0.116744795
ENSG00000014164,ZC3H3,-0.00394862,0.956201956
ENSG00000014216,CAPN1,-0.101563124,0.195099
ENSG00000014257,ACP3,2.932278863,0.0040121
ENSG00000014641,MDH1,0.004076168,0.968171472
ENSG00000014824,SLC30A9,-0.065365527,0.354120149
ENSG00000014914,MTMR11,-0.378338853,0.065591889
ENSG00000014919,COX15,-0.030462842,0.645945145
ENSG00000015133,CCDC88C,0.180467415,0.344395249
ENSG00000015153,YAF2,0.070799285,0.378047393
ENSG00000015171,ZMYND11,-0.092550979,0.258208601
ENSG00000015285,WAS,-0.000804887,0.995692894
ENSG00000015413,DPEP1,-0.533647724,0.227521608
ENSG00000015475,BID,-0.050442086,0.571948137
ENSG00000015479,MATR3,0.044065806,0.744335407
ENSG00000015520,NPC1L1,0.578258213,0.221207645
ENSG00000015532,XYLT2,-0.022966108,0.780341423
ENSG00000015568,RGPD5,-0.111472128,0.550824653
ENSG00000015592,STMN4,0.225092646,0.444623545
ENSG00000015676,NUDCD3,0.028198012,0.660025593
ENSG00000016082,ISL1,1.659305053,0.017956821
ENSG00000016391,CHDH,-0.200674678,0.534604269
ENSG00000016602,CLCA4,0.351849686,0.468498415
ENSG00000016864,GLT8D1,-0.06588176,0.503157414
ENSG00000017260,ATP2C1,-0.086380597,0.277823404
ENSG00000017427,IGF1,-0.122950757,0.823481909
ENSG00000017483,SLC38A5,0.269506028,0.4500723
ENSG00000017797,RALBP1,-0.123280302,0.104954594
ENSG00000018189,RUFY3,-0.086662614,0.35675551
ENSG00000018236,CNTN1,-0.087559855,0.821862965
ENSG00000018280,SLC11A1,-0.088127063,0.701987547
ENSG00000018408,WWTR1,-0.31189232,0.122130122
ENSG00000018510,AGPS,-0.0681395,0.627046751
ENSG00000018607,ZNF285CP,0.304484628,0.273464747
ENSG00000018610,STEEP1,0.034926693,0.769651668
ENSG00000018625,ATP1A2,-0.785113156,0.074842087
ENSG00000018699,TTC27,-0.013944911,0.916252903
ENSG00000018869,ZNF582,0.087781718,0.72104136
ENSG00000019102,VSIG2,-0.128278866,0.631470271
ENSG00000019144,PHLDB1,0.059055656,0.705999171
ENSG00000019169,MARCO,0.068322129,0.904253647
ENSG00000019485,PRDM11,0.003124914,0.979839868
ENSG00000019505,SYT13,-0.012686899,0.970129283
ENSG00000019549,SNAI2,0.238186246,0.583259051
ENSG00000019582,CD74,-0.592556354,0.057695264
ENSG00000019991,HGF,2.155648461,1.30E-05
ENSG00000019995,ZRANB1,0.032983011,0.619206011
ENSG00000020129,NCDN,-0.185096776,0.067566361
ENSG00000020181,ADGRA2,0.109545231,0.710932891
ENSG00000020256,ZFP64,0.079956419,0.356278856
ENSG00000020426,MNAT1,-0.079605376,0.177522841
ENSG00000020577,SAMD4A,0.039949915,0.82237667
ENSG00000020633,RUNX3,0.1936822,0.739716004
ENSG00000020922,MRE11,0.118793697,0.205747651
ENSG00000021300,PLEKHB1,-0.155928537,0.498892316
ENSG00000021355,SERPINB1,-0.343905469,0.156581666
ENSG00000021461,CYP3A43,0.440975217,0.272944789
ENSG00000021488,SLC7A9,0.24853687,0.202805033
ENSG00000021574,SPAST,0.119487101,0.313078546
ENSG00000021645,NRXN3,0.162166301,0.63673599
ENSG00000021762,OSBPL5,-0.058218973,0.644433018
ENSG00000021776,AQR,-0.055780191,0.391345936
ENSG00000021826,CPS1,-0.180938901,0.319242942
ENSG00000022267,FHL1,-0.346757078,0.124734036
ENSG00000022277,RTF2,-0.108924479,0.294881578
ENSG00000022355,GABRA1,0.56096964,0.407985654
ENSG00000022556,NLRP2,0.394047645,0.481508979
ENSG00000022567,SLC45A4,0.071033765,0.474063216
ENSG00000022840,RNF10,-0.069440753,0.359235513
ENSG00000022976,ZNF839,-0.050145018,0.477961286
ENSG00000023041,ZDHHC6,-0.115951815,0.187255899
ENSG00000023171,GRAMD1B,0.307120613,0.200048146
ENSG00000023191,RNH1,0.038980979,0.724567015
ENSG00000023228,NDUFS1,-0.032055253,0.657335216
ENSG00000023287,RB1CC1,0.111671508,0.144856165
ENSG00000023318,ERP44,-0.071937765,0.435484437
ENSG00000023330,ALAS1,-0.179695316,0.085823425
ENSG00000023445,BIRC3,-0.41020154,0.033090013
ENSG00000023516,AKAP11,-0.069598713,0.328873168
ENSG00000023572,GLRX2,-0.225649368,0.183455677
ENSG00000023608,SNAPC1,-0.194918242,0.171671072
ENSG00000023697,DERA,0.01766432,0.915330651
ENSG00000023734,STRAP,-0.111667477,0.315867662
ENSG00000023839,ABCC2,-0.553279543,0.052506139
ENSG00000023892,DEF6,-0.363470022,0.100194046
ENSG00000023902,PLEKHO1,0.160711787,0.165499759
ENSG00000023909,GCLM,-0.158492281,0.348360486
ENSG00000024048,UBR2,-0.026657856,0.53588056
ENSG00000024422,EHD2,-0.194376979,0.357949701
ENSG00000024526,DEPDC1,0.153593969,0.493258916
ENSG00000024862,CCDC28A,-0.037709393,0.79524943
ENSG00000025039,RRAGD,0.015770427,0.9034388
ENSG00000025156,HSF2,0.137519139,0.230643354
ENSG00000025293,PHF20,0.109342474,0.073758152
ENSG00000025423,HSD17B6,0.191846191,0.335024221
ENSG00000025434,NR1H3,0.053787594,0.578280172
ENSG00000025708,TYMP,-0.221998084,0.327334645
ENSG00000025770,NCAPH2,-0.004728829,0.959306664
ENSG00000025772,TOMM34,-0.227570576,0.084852623
ENSG00000025796,SEC63,0.062202367,0.315570354
ENSG00000025800,KPNA6,-0.082188547,0.147355003
ENSG00000026025,VIM,-0.273949229,0.156596545
ENSG00000026036,RTEL1-TNFRSF6B,-0.051929618,0.556582661
ENSG00000026103,FAS,-0.349729037,0.143483762
ENSG00000026297,RNASET2,-0.180497855,0.11924197
ENSG00000026508,CD44,-0.544301834,0.091007935
ENSG00000026559,KCNG1,0.196957951,0.459105063
ENSG00000026652,AGPAT4,-0.148382339,0.205950517
ENSG00000026950,BTN3A1,-0.011491048,0.930119104
ENSG00000027001,MIPEP,-0.023819553,0.890970037
ENSG00000027075,PRKCH,0.150219653,0.737524763
ENSG00000027644,INSRR,0.049554262,0.872223571
ENSG00000027697,IFNGR1,-0.083139661,0.371649155
ENSG00000027847,B4GALT7,-0.077368001,0.258614327
ENSG00000027869,SH2D2A,0.188171525,0.537063644
ENSG00000028116,VRK2,-0.558481441,0.209575235
ENSG00000028137,TNFRSF1B,-1.215995729,0.021727867
ENSG00000028203,VEZT,0.01286057,0.906024635
ENSG00000028277,POU2F2,0.372168408,0.247611028
ENSG00000028310,BRD9,-0.100429222,0.12699218
ENSG00000028528,SNX1,-0.018189408,0.790134425
ENSG00000028839,TBPL1,0.028703589,0.779841038
ENSG00000029153,BMAL2,0.077648764,0.63816238
ENSG00000029363,BCLAF1,0.031398422,0.803857707
ENSG00000029364,SLC39A9,-0.108083757,0.224999389
ENSG00000029534,ANK1,-0.201989136,0.453321522
ENSG00000029559,IBSP,1.710334154,0.038516441
ENSG00000029639,TFB1M,0.080586629,0.318281133
ENSG00000029725,RABEP1,-0.024255223,0.805604667
ENSG00000029993,HMGB3,0.286273155,0.057756081
ENSG00000030066,NUP160,0.116515438,0.265703095
ENSG00000030110,BAK1,-0.144921668,0.330020283
ENSG00000030304,MUSK,0.260731511,0.497566809
ENSG00000030419,IKZF2,-0.144287164,0.447504491
ENSG00000030582,GRN,-0.313197317,0.029350941
ENSG00000031003,FAM13B,-0.055803529,0.55665356
ENSG00000031081,ARHGAP31,-0.136374032,0.55524155
ENSG00000031691,CENPQ,-0.02749399,0.845386087
ENSG00000031698,SARS1,-0.029116639,0.842430938
ENSG00000031823,RANBP3,-0.117773706,0.021247547
ENSG00000032219,ARID4A,0.013183895,0.8596851
ENSG00000032389,EIPR1,-0.026225585,0.825951624
ENSG00000032444,PNPLA6,-0.242618844,0.007917887
ENSG00000032742,IFT88,-0.009918931,0.952725794
ENSG00000033011,ALG1,-0.165022998,0.161230456
ENSG00000033030,ZCCHC8,-0.078396826,0.47777006
ENSG00000033050,ABCF2,-0.044064403,0.692994576
ENSG00000033100,CHPF2,-0.125793028,0.280092023
ENSG00000033122,LRRC7,-0.050691197,0.782927125
ENSG00000033170,FUT8,0.208216568,0.119703718
ENSG00000033178,UBA6,-0.002936489,0.966150115
ENSG00000033327,GAB2,-0.015757459,0.885466962
ENSG00000033627,ATP6V0A1,-0.099739853,0.145500741
ENSG00000033800,PIAS1,0.049906139,0.612650326
ENSG00000033867,SLC4A7,0.226141843,0.247715145
ENSG00000034053,APBA2,0.249002883,0.107928938
ENSG00000034152,MAP2K3,-0.522934312,0.009304844
ENSG00000034239,CLXN,0.093427052,0.829848322
ENSG00000034510,TMSB10,0.090507804,0.577594999
ENSG00000034533,ASTE1,-0.145825722,0.375696006
ENSG00000034677,RNF19A,-0.249827023,0.08780911
ENSG00000034693,PEX3,-0.012770325,0.837676523
ENSG00000034713,GABARAPL2,-0.12191239,0.111797756
ENSG00000035115,SH3YL1,0.021084262,0.764659076
ENSG00000035141,FAM136A,-0.019616868,0.869912964
ENSG00000035403,VCL,-0.141109755,0.311131793
ENSG00000035499,DEPDC1B,0.369122519,0.022319254
ENSG00000035664,DAPK2,-0.027625293,0.919584011
ENSG00000035681,NSMAF,-0.062937083,0.39839222
ENSG00000035687,ADSS2,-0.063314853,0.51280785
ENSG00000035720,STAP1,0.088412683,0.792886082
ENSG00000035862,TIMP2,-0.203177972,0.163434752
ENSG00000035928,RFC1,-0.068582675,0.348436547
ENSG00000036054,TBC1D23,-0.019759955,0.849685317
ENSG00000036257,CUL3,-0.002930189,0.973359995
ENSG00000036448,MYOM2,0.622115271,0.0094829
ENSG00000036530,CYP46A1,-0.053697742,0.732747208
ENSG00000036549,ZZZ3,-0.058855153,0.399283824
